Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.4672986632039369,0.8776164549304294
CAD,0.37159345260573257,0.592996632996633
CHF,1.0,1.0
Depression,0.4408968801610552,0.790385739333723
Diabetes,0.409804351439744,0.6985902255639098
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.3417605987625793,0.5218039215686274
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.452141711885941,0.8264724310776941
Obesity,0.36131488390339384,0.5677922077922078
OSA,0.4614615533195976,0.8576271186440678
PVD,0.45720052093954766,0.8435389610389612
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.4706305736036754,0.795595999366451
