Morbidity Class,NB_Macro F1,NB_Micro F1
Asthma,0.837062937062937,0.9523809523809523
CAD,0.5505555555555555,0.6404761904761904
CHF,1.0,1.0
Depression,0.6665501165501164,0.880952380952381
Diabetes,0.44289682539682546,0.5071428571428571
Gallstones,0.655128205128205,0.85
GERD,0.6662626262626263,0.8800000000000001
Gout,0.7777622377622377,0.9214285714285715
Hypercholesterolemia,0.4647727272727272,0.7266666666666667
Hypertension,0.5195202020202021,0.74
Hypertriglyceridemia,1.0,1.0
OA,0.6110372960372961,0.8619047619047618
Obesity,0.3462229437229437,0.5119047619047619
OSA,0.6037296037296036,0.8380952380952381
PVD,0.7286713286713286,0.9214285714285715
Venous-Insufficiency,0.890909090909091,0.9666666666666668
Overall-Average,0.672567606005106,0.8249404761904763
