Morbidity Class,SVM_Macro F1,SVM_Micro F1
Asthma,0.5225068648294371,0.8846037507562009
CAD,0.7772711828541802,0.7902356902356903
CHF,1,1
Depression,0.4408968801610552,0.790385739333723
Diabetes,0.42372962519511487,0.7003446115288221
Gallstones,0.4599902140879871,0.8532485875706215
GERD,0.4323776782842145,0.7638605442176871
Gout,0.4647957966912661,0.8691242937853108
Hypercholesterolemia,0.6888252083997435,0.6910588235294117
Hypertension,0.4460153333840456,0.8061495457721873
Hypertriglyceridemia,0.4854267614497737,0.9438924605493864
OA,0.4684913909674169,0.8299812030075188
Obesity,0.657007147099528,0.7160064935064935
OSA,0.5141255144017003,0.864406779661017
PVD,0.45720052093954766,0.8435389610389612
Venous-Insufficiency,0.47801077753999144,0.9164368650217707
Overall-Average,0.5447919310178126,0.8289546468446751
